T_set(K) T_real(K) X(V) Y(V) R(V) Theta(deg)
19.64 46.31 0.0422785 -1.52589e-05 0.0422785 -0.018 
19.6 46.23 0.0422747 -1.52589e-05 0.0422747 -0.018 
19.56 46.1 0.0422709 -1.52589e-05 0.0422709 -0.018 
19.51 46.1 0.0422652 -1.52589e-05 0.0422652 -0.018 
19.47 46.1 0.0422633 -1.52589e-05 0.0422633 -0.018 
19.43 45.88 0.0422575 -1.52589e-05 0.0422575 -0.018 
19.39 45.88 0.0422537 -1.52589e-05 0.0422537 -0.018 
19.35 45.88 0.0422518 -1.52589e-05 0.0422518 -0.018 
19.31 45.67 0.0422461 -1.52589e-05 0.0422461 -0.018 
19.27 45.67 0.0422423 -1.52589e-05 0.0422423 -0.018 
19.23 45.67 0.0422385 -1.52589e-05 0.0422385 -0.018 
19.19 45.49 0.0422347 -1.52589e-05 0.0422347 -0.018 
19.15 45.45 0.0422308 -1.52589e-05 0.0422308 -0.018 
19.11 45.43 0.042227 -1.52589e-05 0.042227 -0.018 
19.07 45.24 0.0422232 -1.52589e-05 0.0422232 -0.018 
19.03 45.03 0.0422194 -1.52589e-05 0.0422194 -0.018 
18.99 45.03 0.0422137 -1.52589e-05 0.0422137 -0.018 
18.95 44.82 0.0422118 -1.52589e-05 0.0422118 -0.018 
18.92 44.82 0.042206 -1.52589e-05 0.042206 -0.018 
18.88 44.61 0.0422003 -1.52589e-05 0.0422003 -0.018 
18.84 44.61 0.0421965 -1.52589e-05 0.0421965 -0.018 
18.8 44.52 0.0421908 -1.52589e-05 0.0421908 -0.018 
18.76 44.4 0.042187 -1.52589e-05 0.042187 -0.018 
18.72 44.4 0.0421832 -1.52589e-05 0.0421832 -0.018 
18.68 44.38 0.0421793 -1.52589e-05 0.0421793 -0.018 
18.64 44.21 0.0421736 -1.52589e-05 0.0421736 -0.018 
18.6 44.19 0.0421698 -1.52589e-05 0.0421698 -0.018 
18.56 44.19 0.0421641 -1.52589e-05 0.0421641 -0.018 
18.52 43.98 0.0421584 -1.52589e-05 0.0421584 -0.018 
18.48 43.98 0.0421546 -1.52589e-05 0.0421546 -0.018 
18.43 43.98 0.0421488 -1.52589e-05 0.0421488 -0.018 
18.4 43.98 0.0421469 -1.52589e-05 0.0421469 -0.018 
18.35 43.98 0.0421412 -1.52589e-05 0.0421412 -0.018 
18.31 43.78 0.0421355 -1.52589e-05 0.0421355 -0.018 
18.27 43.78 0.0421317 -1.52589e-05 0.0421317 -0.018 
18.23 43.78 0.0421259 -1.52589e-05 0.0421259 -0.018 
18.18 43.78 0.0421202 -1.52589e-05 0.0421202 -0.018 
18.14 43.78 0.0421164 -1.52589e-05 0.0421164 -0.018 
18.1 43.78 0.0421107 -1.52589e-05 0.0421107 -0.018 
18.06 43.69 0.0421069 -1.52589e-05 0.0421069 -0.018 
18.02 43.78 0.0421031 -1.52589e-05 0.0421031 -0.018 
17.98 43.59 0.0420973 -1.52589e-05 0.0420973 -0.018 
17.93 43.78 0.0420935 -1.52589e-05 0.0420935 -0.018 
17.89 43.57 0.0420897 -1.52589e-05 0.0420897 -0.018 
17.84 43.57 0.042084 -1.52589e-05 0.042084 -0.018 
17.8 43.57 0.0420802 -1.52589e-05 0.0420802 -0.018 
17.76 43.47 0.0420763 -1.52589e-05 0.0420763 -0.018 
1.0 43.37 0.0420706 -1.52589e-05 0.0420706 -0.018 
17.67 43.37 0.0420668 -1.52589e-05 0.0420668 -0.018 
17.62 43.16 0.0420611 -1.52589e-05 0.0420611 -0.018 
17.58 42.98 0.0420573 -1.52589e-05 0.0420573 -0.018 
17.53 42.96 0.0420535 -1.52589e-05 0.0420535 -0.018 
17.5 42.8 0.0420477 -1.52589e-05 0.0420477 -0.018 
17.45 42.76 0.0420439 -1.52589e-05 0.0420439 -0.018 
17.4 42.76 0.0420401 -1.52589e-05 0.0420401 -0.018 
17.35 42.6 0.0420344 -1.52589e-05 0.0420344 -0.018 
17.31 42.76 0.0420306 -1.52589e-05 0.0420306 -0.018 
17.27 42.76 0.0420268 -1.52589e-05 0.0420268 -0.018 
17.22 42.76 0.042021 -1.52589e-05 0.042021 -0.018 
17.18 42.76 0.0420153 -1.52589e-05 0.0420153 -0.018 
17.13 42.76 0.0420115 -1.52589e-05 0.0420115 -0.018 
17.09 42.76 0.0420077 -1.52589e-05 0.0420077 -0.018 
17.04 42.66 0.042002 -1.52589e-05 0.042002 -0.018 
16.99 42.56 0.0419981 -1.52589e-05 0.0419981 -0.018 
16.95 42.34 0.0419924 -1.52589e-05 0.0419924 -0.018 
16.9 42.14 0.0419886 -1.52589e-05 0.0419886 -0.018 
16.86 41.97 0.0419848 -1.52589e-05 0.0419848 -0.018 
16.8 41.79 0.0419791 -1.52589e-05 0.0419791 -0.018 
16.76 41.75 0.0419753 -1.52589e-05 0.0419753 -0.018 
16.71 41.75 0.0419714 -1.52589e-05 0.0419714 -0.018 
16.66 41.71 0.0419657 -1.52589e-05 0.0419657 -0.018 
16.6 41.75 0.0419619 -1.52589e-05 0.0419619 -0.018 
16.55 41.75 0.0419581 -1.52589e-05 0.0419581 -0.018 
16.49 41.75 0.0419524 -1.52589e-05 0.0419524 -0.018 
16.44 41.95 0.0419486 -1.52589e-05 0.0419486 -0.018 
16.39 41.75 0.0419466 -1.52589e-05 0.0419466 -0.018 
16.33 41.75 0.0419447 -1.52589e-05 0.0419447 -0.018 
101.0 41.75 0.0419409 -1.52589e-05 0.0419409 -0.018 
16.21 41.75 0.0419371 -1.52589e-05 0.0419371 -0.018 
16.16 41.56 0.0419352 -1.52589e-05 0.0419352 -0.018 
16.1 41.36 0.0419333 -1.52589e-05 0.0419333 -0.018 
16.04 41.36 0.0419295 -1.52589e-05 0.0419295 -0.018 
15.98 41.24 0.0419257 -1.52589e-05 0.0419257 -0.018 
15.91 41.32 0.0419238 -1.52589e-05 0.0419238 -0.018 
15.85 41.36 0.0419219 -1.52589e-05 0.0419219 -0.018 
101.0 41.36 0.0419199 -1.52589e-05 0.0419199 -0.018 
15.72 41.36 0.041918 -1.52589e-05 0.041918 -0.018 
15.65 41.56 0.0419161 -1.52589e-05 0.0419161 -0.018 
15.58 41.75 0.0419161 -1.52589e-05 0.0419161 -0.018 
15.51 41.95 0.0419123 -1.52589e-05 0.0419123 -0.018 
15.42 41.97 0.0419104 -1.52589e-05 0.0419104 -0.018 
15.34 42.14 0.0419085 -1.52589e-05 0.0419085 -0.018 
15.25 42.34 0.0419085 -1.52589e-05 0.0419085 -0.018 
15.16 42.46 0.0419085 -1.52589e-05 0.0419085 -0.018 
15.06 42.76 0.0419066 -1.52589e-05 0.0419066 -0.018 
14.96 42.96 0.0419009 -1.52589e-05 0.0419009 -0.018 
14.85 42.96 0.0418952 -1.52589e-05 0.0418952 -0.018 
14.75 43.04 0.0418875 -1.52589e-05 0.0418875 -0.018 
14.63 43.08 0.0418799 -1.52589e-05 0.0418799 -0.018 
14.51 42.98 0.0418704 -1.52589e-05 0.0418704 -0.018 
14.39 42.98 0.0418646 -1.52589e-05 0.0418646 -0.018 
14.27 42.96 0.0418551 -1.52589e-05 0.0418551 -0.018 
14.16 42.8 0.0418456 -1.52589e-05 0.0418456 -0.018 
14.03 42.76 0.0418379 -1.52589e-05 0.0418379 -0.018 
13.91 42.56 0.0418284 -1.52589e-05 0.0418284 -0.018 
13.79 42.56 0.0418208 -1.52589e-05 0.0418208 -0.018 
1.0 42.34 0.041815 -1.52589e-05 0.041815 -0.018 
1.0 42.14 0.0418074 -1.52589e-05 0.0418074 -0.018 
13.45 41.95 0.0418017 -1.52589e-05 0.0418017 -0.018 
13.34 41.75 0.041796 -1.52589e-05 0.041796 -0.018 
13.23 41.59 0.0417902 -1.52589e-05 0.0417902 -0.018 
13.14 41.56 0.0417845 -1.52589e-05 0.0417845 -0.018 
13.04 41.36 0.0417788 -1.52589e-05 0.0417788 -0.018 
12.94 41.17 0.041775 -1.52589e-05 0.041775 -0.018 
12.84 41.09 0.0417693 -1.52589e-05 0.0417693 -0.018 
12.76 40.97 0.0417655 -1.33515e-05 0.0417655 -0.018 
12.68 40.82 0.0417616 -1.52589e-05 0.0417616 -0.018 
12.59 40.78 0.0417559 -1.52589e-05 0.0417559 -0.018 
12.51 40.59 0.0417521 -1.33515e-05 0.0417521 -0.018 
12.44 40.59 0.0417483 -1.33515e-05 0.0417483 -0.018 
12.36 40.4 0.0417426 -1.33515e-05 0.0417426 -0.018 
12.28 40.4 0.0417387 -1.33515e-05 0.0417387 -0.018 
12.21 40.21 0.0417349 -1.33515e-05 0.0417349 -0.018 
12.15 40.21 0.0417292 -1.33515e-05 0.0417292 -0.018 
12.08 40.04 0.0417254 -1.52589e-05 0.0417254 -0.018 
12.02 40.02 0.0417216 -1.52589e-05 0.0417216 -0.018 
11.95 40.02 0.0417159 -1.52589e-05 0.0417159 -0.018 
11.9 39.84 0.041712 -1.52589e-05 0.041712 -0.018 
11.84 39.76 0.0417082 -1.52589e-05 0.0417082 -0.018 
11.79 39.65 0.0417025 -1.33515e-05 0.0417025 -0.018 
11.74 39.65 0.0416987 -1.33515e-05 0.0416987 -0.018 
11.69 39.47 0.0416949 -1.33515e-05 0.0416949 -0.018 
11.64 39.3 0.0416911 -1.33515e-05 0.0416911 -0.018 
11.6 39.28 0.0416853 -1.33515e-05 0.0416853 -0.018 
11.56 39.1 0.0416815 -1.33515e-05 0.0416815 -0.018 
11.52 38.95 0.0416758 -1.33515e-05 0.0416758 -0.018 
11.48 38.92 0.0416701 -1.33515e-05 0.0416701 -0.018 
11.45 38.73 0.0416682 -1.33515e-05 0.0416682 -0.018 
11.41 38.66 0.0416625 -1.33515e-05 0.0416625 -0.018 
11.38 38.55 0.0416567 -1.33515e-05 0.0416567 -0.018 
11.34 38.37 0.0416548 -1.33515e-05 0.0416548 -0.018 
11.31 38.3 0.0416472 -1.33515e-05 0.0416472 -0.018 
11.28 38.19 0.0416434 -1.33515e-05 0.0416434 -0.018 
11.25 38.19 0.0416396 -1.33515e-05 0.0416396 -0.018 
11.22 38.01 0.0416358 -1.33515e-05 0.0416358 -0.018 
11.2 38.01 0.0416319 -1.33515e-05 0.0416319 -0.018 
11.17 37.85 0.0416262 -1.33515e-05 0.0416262 -0.018 
1.0 37.82 0.0416224 -1.33515e-05 0.0416224 -0.018 
11.13 37.82 0.0416186 -1.33515e-05 0.0416186 -0.018 
11.1 37.71 0.0416148 -1.33515e-05 0.0416148 -0.018 
11.08 37.64 0.041609 -1.33515e-05 0.041609 -0.018 
11.06 37.64 0.0416052 -1.33515e-05 0.0416052 -0.018 
11.04 37.64 0.0416014 -1.33515e-05 0.0416014 -0.018 
11.02 37.64 0.0415957 -1.33515e-05 0.0415957 -0.018 
10.99 37.47 0.0415919 -1.33515e-05 0.0415919 -0.018 
10.97 37.29 0.0415881 -1.33515e-05 0.0415881 -0.018 
10.95 37.12 0.0415823 -1.33515e-05 0.0415823 -0.018 
10.93 37.61 0.0415785 -1.33515e-05 0.0415785 -0.018 
10.91 36.77 0.0415747 -1.33515e-05 0.0415747 -0.018 
10.89 36.81 0.0415709 -1.33515e-05 0.0415709 -0.018 
10.88 36.6 0.0415652 -1.33515e-05 0.0415652 -0.018 
10.86 36.43 0.0415614 -1.33515e-05 0.0415614 -0.018 
10.84 36.43 0.0415576 -1.33515e-05 0.0415576 -0.018 
10.82 36.26 0.0415518 -1.33515e-05 0.0415518 -0.018 
10.8 36.26 0.0415499 -1.33515e-05 0.0415499 -0.018 
10.78 36.09 0.0415442 -1.33515e-05 0.0415442 -0.018 
10.76 36.11 0.0415404 -1.33515e-05 0.0415404 -0.018 
10.74 36.09 0.0415366 -1.33515e-05 0.0415366 -0.018 
10.72 36.09 0.0415308 -1.33515e-05 0.0415308 -0.018 
10.71 36.09 0.0415251 -1.33515e-05 0.0415251 -0.018 
10.69 36.09 0.0415213 -1.33515e-05 0.0415213 -0.018 
10.67 36.02 0.0415175 -1.33515e-05 0.0415175 -0.018 
10.65 35.94 0.0415118 -1.33515e-05 0.0415118 -0.018 
10.63 35.92 0.041508 -1.33515e-05 0.041508 -0.018 
10.61 35.75 0.0415022 -1.33515e-05 0.0415022 -0.018 
10.59 35.6 0.0414984 -1.33515e-05 0.0414984 -0.018 
10.58 35.59 0.0414946 -1.33515e-05 0.0414946 -0.018 
101.0 35.42 0.0414908 -1.33515e-05 0.0414908 -0.018 
10.54 35.35 0.0414851 -1.33515e-05 0.0414851 -0.018 
10.52 35.26 0.0414832 -1.33515e-05 0.0414832 -0.018 
10.5 35.09 0.0414774 -1.33515e-05 0.0414774 -0.018 
10.48 34.93 0.0414717 -1.33515e-05 0.0414717 -0.018 
10.47 34.8 0.0414679 -1.33515e-05 0.0414679 -0.018 
10.45 34.76 0.0414641 -1.33515e-05 0.0414641 -0.018 
10.43 34.6 0.0414603 -1.33515e-05 0.0414603 -0.018 
10.41 34.46 0.0414546 -1.33515e-05 0.0414546 -0.018 
10.39 34.44 0.0414507 -1.33515e-05 0.0414507 -0.018 
10.37 34.28 0.0414469 -1.33515e-05 0.0414469 -0.018 
10.35 34.28 0.0414412 -1.33515e-05 0.0414412 -0.018 
10.32 34.22 0.0414374 -1.33515e-05 0.0414374 -0.018 
10.3 34.12 0.0414336 -1.33515e-05 0.0414336 -0.018 
10.28 34.12 0.0414279 -1.33515e-05 0.0414279 -0.018 
10.26 34.12 0.041424 -1.33515e-05 0.041424 -0.018 
10.24 34.12 0.0414202 -1.33515e-05 0.0414202 -0.018 
10.22 34.12 0.0414164 -1.33515e-05 0.0414164 -0.018 
10.19 34.12 0.0414107 -1.33515e-05 0.0414107 -0.018 
10.17 33.96 0.0414069 -1.33515e-05 0.0414069 -0.018 
10.15 33.96 0.041405 -1.33515e-05 0.041405 -0.018 
10.13 33.79 0.0413992 -1.33515e-05 0.0413992 -0.018 
10.1 33.79 0.0413954 -1.33515e-05 0.0413954 -0.018 
10.08 33.79 0.0413916 -1.33515e-05 0.0413916 -0.018 
10.05 33.63 0.0413878 -1.33515e-05 0.0413878 -0.018 
10.03 33.63 0.041384 -1.33515e-05 0.041384 -0.018 
10.0 33.47 0.0413802 -1.33515e-05 0.0413802 -0.018 
9.97 33.47 0.0413744 -1.33515e-05 0.0413744 -0.018 
9.94 33.32 0.0413706 -1.33515e-05 0.0413706 -0.018 
9.91 33.32 0.0413668 -1.33515e-05 0.0413668 -0.018 
9.88 33.16 0.041363 -1.33515e-05 0.041363 -0.018 
9.85 33.16 0.0413573 -1.33515e-05 0.0413573 -0.018 
1.0 33.01 0.0413535 -1.33515e-05 0.0413535 -0.018 
9.78 33.01 0.0413496 -1.33515e-05 0.0413496 -0.018 
9.74 33.01 0.0413458 -1.33515e-05 0.0413458 -0.018 
9.7 32.85 0.0413401 -1.33515e-05 0.0413401 -0.018 
9.65 32.85 0.0413382 -1.33515e-05 0.0413382 -0.018 
9.61 32.7 0.0413344 -1.33515e-05 0.0413344 -0.018 
9.57 32.7 0.0413287 -1.33515e-05 0.0413287 -0.018 
9.53 32.55 0.0413249 -1.33515e-05 0.0413249 -0.018 
9.48 32.55 0.0413191 -1.33515e-05 0.0413191 -0.018 
9.43 32.42 0.0413153 -1.33515e-05 0.0413153 -0.018 
9.38 32.39 0.0413115 -1.33515e-05 0.0413115 -0.018 
9.33 32.39 0.0413058 -1.33515e-05 0.0413058 -0.018 
9.27 32.24 0.041302 -1.33515e-05 0.041302 -0.018 
9.22 32.12 0.0412982 -1.33515e-05 0.0412982 -0.018 
9.18 32.09 0.0412943 -1.33515e-05 0.0412943 -0.018 
9.14 31.94 0.0412886 -1.33515e-05 0.0412886 -0.018 
9.09 31.8 0.0412848 -1.33515e-05 0.0412848 -0.018 
9.05 31.53 0.0412791 -1.33515e-05 0.0412791 -0.018 
9.02 31.37 0.0412753 -1.33515e-05 0.0412753 -0.018 
8.98 31.35 0.0412695 -1.33515e-05 0.0412695 -0.018 
8.95 31.21 0.0412638 -1.33515e-05 0.0412638 -0.018 
8.92 31.06 0.04126 -1.33515e-05 0.04126 -0.018 
8.89 31.06 0.0412543 -1.33515e-05 0.0412543 -0.018 
8.87 30.92 0.0412486 -1.33515e-05 0.0412486 -0.018 
8.83 30.92 0.0412467 -1.33515e-05 0.0412467 -0.018 
8.8 30.77 0.0412409 -1.33515e-05 0.0412409 -0.018 
8.78 30.77 0.0412352 -1.33515e-05 0.0412352 -0.018 
8.75 30.77 0.0412333 -1.33515e-05 0.0412333 -0.018 
8.73 30.63 0.0412276 -1.33515e-05 0.0412276 -0.018 
8.7 30.57 0.0412219 -1.33515e-05 0.0412219 -0.018 
8.68 30.49 0.041218 -1.33515e-05 0.041218 -0.018 
8.66 30.49 0.0412123 -1.33515e-05 0.0412123 -0.018 
8.64 30.46 0.0412085 -1.33515e-05 0.0412085 -0.018 
8.62 30.34 0.0412028 -1.33515e-05 0.0412028 -0.018 
8.6 30.19 0.0411971 -1.33515e-05 0.0411971 -0.018 
8.58 30.19 0.0411932 -1.33515e-05 0.0411932 -0.018 
8.56 30.08 0.0411875 -1.33515e-05 0.0411875 -0.018 
8.54 30.05 0.0411837 -1.33515e-05 0.0411837 -0.018 
8.52 29.91 0.0411799 -1.33515e-05 0.0411799 -0.018 
8.5 29.77 0.0411742 -1.33515e-05 0.0411742 -0.018 
8.48 29.63 0.0411685 -1.33515e-05 0.0411685 -0.018 
8.47 29.49 0.0411646 -1.33515e-05 0.0411646 -0.018 
8.45 29.36 0.0411608 -1.33515e-05 0.0411608 -0.018 
8.43 29.22 0.0411551 -1.33515e-05 0.0411551 -0.018 
8.41 29.08 0.0411513 -1.33515e-05 0.0411513 -0.018 
8.39 28.95 0.0411456 -1.33515e-05 0.0411456 -0.018 
8.37 28.83 0.0411417 -1.33515e-05 0.0411417 -0.018 
8.35 28.81 0.041136 -1.33515e-05 0.041136 -0.018 
8.33 28.68 0.0411303 -1.33515e-05 0.0411303 -0.018 
8.31 28.68 0.0411284 -1.33515e-05 0.0411284 -0.018 
8.29 28.68 0.0411227 -1.33515e-05 0.0411227 -0.018 
8.27 28.68 0.041117 -1.33515e-05 0.041117 -0.018 
8.25 28.68 0.0411131 -1.33515e-05 0.0411131 -0.018 
8.23 28.56 0.0411074 -1.33515e-05 0.0411074 -0.018 
8.22 28.55 0.0411036 -1.33515e-05 0.0411036 -0.018 
8.2 28.44 0.0410979 -1.33515e-05 0.0410979 -0.018 
8.18 28.41 0.0410922 -1.33515e-05 0.0410922 -0.018 
8.15 28.28 0.0410883 -1.33515e-05 0.0410883 -0.018 
8.14 28.15 0.0410826 -1.33515e-05 0.0410826 -0.018 
8.12 28.02 0.0410769 -1.33515e-05 0.0410769 -0.018 
8.1 27.76 0.0410731 -1.33515e-05 0.0410731 -0.018 
8.08 27.63 0.0410674 -1.33515e-05 0.0410674 -0.018 
8.06 27.52 0.0410635 -1.33515e-05 0.0410635 -0.018 
8.04 27.5 0.0410578 -1.33515e-05 0.0410578 -0.018 
8.02 27.37 0.0410521 -1.33515e-05 0.0410521 -0.018 
8.01 27.25 0.0410483 -1.33515e-05 0.0410483 -0.018 
7.99 27.25 0.0410426 -1.33515e-05 0.0410426 -0.018 
7.97 27.25 0.0410388 -1.33515e-05 0.0410388 -0.018 
7.95 27.25 0.0410349 -1.33515e-05 0.0410349 -0.018 
7.93 27.12 0.0410292 -1.33515e-05 0.0410292 -0.018 
7.91 27.12 0.0410235 -1.33515e-05 0.0410235 -0.018 
7.89 27.12 0.0410197 -1.33515e-05 0.0410197 -0.018 
7.87 27.12 0.041014 -1.33515e-05 0.041014 -0.018 
7.84 26.99 0.0410101 -1.33515e-05 0.0410101 -0.018 
7.82 26.86 0.0410082 -1.33515e-05 0.0410082 -0.018 
7.8 26.81 0.0410063 -1.33515e-05 0.0410063 -0.018 
7.78 26.62 0.0410006 -1.33515e-05 0.0410006 -0.018 
7.76 26.48 0.0409968 -1.33515e-05 0.0409968 -0.018 
7.74 26.36 0.0409911 -1.33515e-05 0.0409911 -0.018 
7.72 26.14 0.0409853 -1.33515e-05 0.0409853 -0.018 
7.7 26.12 0.0409815 -1.33515e-05 0.0409815 -0.018 
7.67 26.0 0.0409739 -1.33515e-05 0.0409739 -0.018 
7.65 26.01 0.0409701 -1.33515e-05 0.0409701 -0.018 
7.62 26.1 0.0409644 -1.33515e-05 0.0409644 -0.018 
7.6 26.12 0.0409586 -1.33515e-05 0.0409586 -0.018 
7.58 26.12 0.0409548 -1.33515e-05 0.0409548 -0.018 
7.55 25.89 0.0409491 -1.33515e-05 0.0409491 -0.018 
7.52 25.77 0.0409434 -1.33515e-05 0.0409434 -0.018 
7.5 25.64 0.0409377 -1.33515e-05 0.0409377 -0.018 
7.47 25.4 0.0409319 -1.33515e-05 0.0409319 -0.018 
1.0 25.35 0.0409281 -1.33515e-05 0.0409281 -0.018 
7.41 25.33 0.0409224 -1.33515e-05 0.0409224 -0.018 
7.39 25.4 0.0409186 -1.33515e-05 0.0409186 -0.018 
7.35 25.34 0.0409129 -1.33515e-05 0.0409129 -0.018 
7.33 25.4 0.0409052 -1.33515e-05 0.0409052 -0.018 
7.3 25.28 0.0409014 -1.33515e-05 0.0409014 -0.018 
7.28 25.16 0.0408957 -1.33515e-05 0.0408957 -0.018 
7.24 25.05 0.0408919 -1.33515e-05 0.0408919 -0.018 
7.22 24.82 0.0408862 -1.33515e-05 0.0408862 -0.018 
7.18 24.7 0.0408804 -1.33515e-05 0.0408804 -0.018 
7.16 24.48 0.0408766 -1.33515e-05 0.0408766 -0.018 
7.12 24.43 0.0408709 -1.33515e-05 0.0408709 -0.018 
7.09 24.36 0.0408652 -1.33515e-05 0.0408652 -0.018 
7.05 24.26 0.0408614 -1.33515e-05 0.0408614 -0.018 
7.02 24.36 0.0408576 -1.33515e-05 0.0408576 -0.018 
6.99 24.36 0.0408537 -1.33515e-05 0.0408537 -0.018 
6.95 24.25 0.0408499 -1.33515e-05 0.0408499 -0.018 
6.92 24.13 0.0408423 -1.33515e-05 0.0408423 -0.018 
6.89 24.01 0.0408385 -1.33515e-05 0.0408385 -0.018 
6.85 23.79 0.0408309 -1.33515e-05 0.0408309 -0.018 
6.81 23.57 0.040827 -1.33515e-05 0.040827 -0.018 
6.77 23.46 0.0408232 -1.33515e-05 0.0408232 -0.018 
6.73 23.35 0.0408175 -1.33515e-05 0.0408175 -0.018 
6.69 23.35 0.0408118 -1.33515e-05 0.0408118 -0.018 
6.64 23.35 0.0408061 -1.33515e-05 0.0408061 -0.018 
6.6 23.35 0.0408003 -1.33515e-05 0.0408003 -0.018 
6.57 23.24 0.0407965 -1.33515e-05 0.0407965 -0.018 
6.54 23.03 0.0407908 -1.33515e-05 0.0407908 -0.018 
6.49 22.83 0.040787 -1.33515e-05 0.040787 -0.018 
6.44 22.62 0.0407813 -1.33515e-05 0.0407813 -0.018 
1.0 22.51 0.0407755 -1.33515e-05 0.0407755 -0.018 
6.35 22.45 0.0407698 -1.33515e-05 0.0407698 -0.018 
6.3 22.5 0.0407641 -1.33515e-05 0.0407641 -0.018 
6.25 22.5 0.0407603 -1.33515e-05 0.0407603 -0.018 
6.2 22.4 0.0407546 -1.33515e-05 0.0407546 -0.018 
6.14 22.4 0.0407469 -1.33515e-05 0.0407469 -0.018 
6.09 22.21 0.0407431 -1.33515e-05 0.0407431 -0.018 
6.03 22.09 0.0407374 -1.33515e-05 0.0407374 -0.018 
5.96 21.88 0.0407336 -1.33515e-05 0.0407336 -0.018 
5.9 21.68 0.0407279 -1.33515e-05 0.0407279 -0.018 
5.83 21.58 0.0407221 -1.33515e-05 0.0407221 -0.018 
101.0 21.58 0.0407183 -1.33515e-05 0.0407183 -0.018 
5.64 21.68 0.0407107 -1.33515e-05 0.0407107 -0.018 
5.53 21.68 0.0407069 -1.33515e-05 0.0407069 -0.018 
5.38 21.78 0.0407031 -1.33515e-05 0.0407031 -0.018 
5.24 21.9 0.0406954 -1.33515e-05 0.0406954 -0.018 
5.14 21.54 0.0406897 -1.33515e-05 0.0406897 -0.018 
5.07 21.29 0.0406821 -1.33515e-05 0.0406821 -0.018 
5.02 21.08 0.0406783 -1.33515e-05 0.0406783 -0.018 
4.99 20.89 0.0406725 -1.33515e-05 0.0406725 -0.018 
4.97 20.75 0.0406668 -1.33515e-05 0.0406668 -0.018 
4.93 20.62 0.0406611 -1.33515e-05 0.0406611 -0.018 
4.9 20.51 0.0406535 -1.33515e-05 0.0406535 -0.018 
4.89 20.5 0.0406497 -1.33515e-05 0.0406497 -0.018 
4.86 20.37 0.040642 -1.33515e-05 0.040642 -0.018 
4.85 20.31 0.0406363 -1.33515e-05 0.0406363 -0.018 
4.82 20.22 0.0406287 -1.33515e-05 0.0406287 -0.018 
4.79 20.04 0.0406229 -1.33515e-05 0.0406229 -0.018 
4.78 19.94 0.0406172 -1.33515e-05 0.0406172 -0.018 
4.76 19.81 0.0406115 -1.33515e-05 0.0406115 -0.018 
4.75 19.54 0.0406039 -1.33515e-05 0.0406039 -0.018 
4.73 19.36 0.0405982 -1.33515e-05 0.0405982 -0.018 
4.7 19.12 0.0405924 -1.33515e-05 0.0405924 -0.018 
4.68 18.94 0.0405867 -1.33515e-05 0.0405867 -0.018 
4.68 18.79 0.0405791 -1.33515e-05 0.0405791 -0.018 
4.68 18.77 0.0405753 -1.33515e-05 0.0405753 -0.018 
4.67 18.62 0.0405676 -1.33515e-05 0.0405676 -0.018 
4.66 18.6 0.04056 -1.33515e-05 0.04056 -0.018 
4.66 18.51 0.0405524 -1.33515e-05 0.0405524 -0.018 
4.66 18.43 0.0405467 -1.33515e-05 0.0405467 -0.018 
4.65 18.26 0.040539 -1.33515e-05 0.040539 -0.018 
4.63 18.02 0.0405333 -1.33515e-05 0.0405333 -0.018 
4.62 17.86 0.0405257 -1.33515e-05 0.0405257 -0.018 
4.61 17.65 0.04052 -1.33515e-05 0.04052 -0.018 
4.61 17.44 0.0405142 -1.33515e-05 0.0405142 -0.018 
4.6 17.28 0.0405066 -1.33515e-05 0.0405066 -0.018 
4.6 17.11 0.040499 -1.33515e-05 0.040499 -0.018 
4.58 17.07 0.0404932 -1.33515e-05 0.0404932 -0.018 
4.56 16.89 0.0404856 -1.33515e-05 0.0404856 -0.018 
101.0 16.74 0.0404799 -1.33515e-05 0.0404799 -0.018 
4.54 16.68 0.0404723 -1.33515e-05 0.0404723 -0.018 
4.53 16.57 0.0404665 -1.33515e-05 0.0404665 -0.018 
4.51 16.49 0.040457 -1.33515e-05 0.040457 -0.018 
4.49 16.42 0.0404513 -1.33515e-05 0.0404513 -0.018 
4.47 16.27 0.0404437 -1.33515e-05 0.0404437 -0.018 
4.45 16.12 0.0404379 -1.33515e-05 0.0404379 -0.018 
4.41 15.9 0.0404303 -1.33515e-05 0.0404303 -0.018 
4.39 15.77 0.0404227 -1.33515e-05 0.0404227 -0.018 
4.35 15.55 0.040417 -1.33515e-05 0.040417 -0.018 
4.32 15.4 0.0404093 -1.33515e-05 0.0404093 -0.018 
4.28 15.2 0.0404017 -1.33515e-05 0.0404017 -0.018 
4.25 15.06 0.0403941 -1.33515e-05 0.0403941 -0.018 
4.21 14.84 0.0403883 -1.33515e-05 0.0403883 -0.018 
4.17 14.58 0.0403807 -1.33515e-05 0.0403807 -0.018 
4.13 14.44 0.040375 -1.33515e-05 0.040375 -0.018 
4.1 14.24 0.0403655 -1.33515e-05 0.0403655 -0.018 
4.07 14.05 0.0403597 -1.33515e-05 0.0403597 -0.018 
4.04 13.83 0.0403502 -1.33515e-05 0.0403502 -0.018 
4.01 13.67 0.0403445 -1.33515e-05 0.0403445 -0.018 
3.96 13.43 0.0403368 -1.33515e-05 0.0403368 -0.018 
3.93 13.3 0.0403311 -1.33515e-05 0.0403311 -0.018 
